projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
460078	384	2011-06-15T00:06:50.000Z	codier	1	1210717	d428c9910e66246c2af46602499acaeaf187d75b	
460078	396	2011-06-22T19:33:31.000Z	codier	1	1364024	b5a510a343270f499cbb8b8a9ac3a3309e9b7ce2	
460078	400	2011-06-23T18:01:25.000Z	vojtajina	1	3102134	d0f459c56fdb3dae692c359a2915acb2fd063c79	
8514	1682	2011-06-23T18:57:49.000Z	jonleighton	1	1364050	87d6865bf71eb3feb5831ca541f3493aa36ee88e	
8514	1720	2011-06-24T01:32:22.000Z	raviolicode	1	1381906	9734a416faaa8149fa5914b0afe2e6761ad5ec20	
8514	1858	2011-06-25T14:35:59.000Z	dmathieu	1	1400197	bc743dc1ce4657be0c377edaab69f8e9ca0e350b	
460078	369	2011-06-27T17:01:09.000Z	vojtajina	1	1423280	8e915f5545102d5c7bfa1bbb24f9b59a36bb5449	
8514	1571	2011-06-28T21:55:15.000Z	tenderlove	1	1459367	59e38803e90a25adcaefdc051c5abcb170c33672	
460078	146	2011-06-29T16:30:39.000Z	vojtajina	1	3107418	5ba227c7cd3ddfcd3bffc3fd15daf8d6ec9b8713	
460078	168	2011-06-29T16:30:39.000Z	vojtajina	1	3107417	5ba227c7cd3ddfcd3bffc3fd15daf8d6ec9b8713	
460078	234	2011-06-29T16:30:39.000Z	vojtajina	1	3107420	5ba227c7cd3ddfcd3bffc3fd15daf8d6ec9b8713	
460078	281	2011-06-29T16:30:39.000Z	vojtajina	1	3107419	5ba227c7cd3ddfcd3bffc3fd15daf8d6ec9b8713	
8514	1842	2011-06-30T21:41:18.000Z	jonleighton	1	1516740	0e225ec583db523a8b7da332eaf689149ed60447	
8514	1935	2011-07-03T11:09:28.000Z	dmathieu	1	1560795	b7327241aa01d570817edd2274d48ffd9451ddcd	
8514	1958	2011-07-04T15:56:47.000Z	pixeltrix	1	1579390	718542bb182af38d225384b26adb820c7589ea9a	
460078	449	2011-07-07T20:56:13.000Z	mhevery	1	2022279	f3456dc2826e9570cf2969fab3c314255d16188f	
8514	1960	2011-07-08T19:59:25.000Z	jonleighton	1	1679128	dfec3737b05d22e6f298bcae0a8948a4b8803ebd	
