Experiment title	TIME	Assigned bug type	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	Any comments for the experiment	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10
11- (bTDmL - bTDmL+c[0.9] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110735	17.5Sec	T5_ALL_TYPES	0.59266	55.58200	44.42736	79.71671	88.94375	44.42736	34.92756	19.87535	74.23971	11.68515	86.54148	-	0.57562	53.61818	41.94227	79.24871	89.48576	41.94227	31.81084	20.11088	73.40916	11.99293	87.01682																							0.70567	69.24773	61.86888	80.93444	83.27054	61.86888	57.42904	17.72419	79.39588	9.23135	82.31600																																		0.64276	59.84203	49.46996	85.51237	92.22615	49.46996	39.78210	20.56537	77.50294	11.74912	87.66196																																																								
12- (bTDmL - bTDmL+c[1.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110800	15.9Sec	T5_ALL_TYPES	0.59333	55.63520	44.53258	79.82193	88.91947	44.53258	35.00580	19.89316	74.33522	11.68110	86.50911	-	0.57639	53.67969	42.04741	79.38253	89.45708	42.04741	31.88412	20.13382	73.53151	11.98719	86.97381																							0.70659	69.33797	62.09495	80.85908	83.27054	62.09495	57.65511	17.70912	79.32052	9.23135	82.31600																																		0.64100	59.65461	49.29329	85.51237	92.22615	49.29329	39.60542	20.56537	77.50294	11.76678	87.75029																																																								
13- (bTDmL - bTDmL+p[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112156	19.2Sec	T5_ALL_TYPES	0.58457	54.69122	43.74747	78.69688	88.69284	43.74747	34.30743	19.61473	73.11979	11.66087	86.28544	-	0.56614	52.65007	41.01510	78.19729	89.24680	41.01510	31.09922	19.83751	72.25307	11.96234	86.73835																							0.69782	68.45209	61.03994	80.25622	82.96910	61.03994	56.56242	17.58855	78.68626	9.20121	81.98945																																		0.65989	60.15740	53.71025	84.27562	91.87279	53.71025	41.43110	20.24735	76.08952	11.85512	87.98587																																																								
14- (bTDmL - bTDmL+p[0.2] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112225	17.6Sec	T5_ALL_TYPES	0.58567	54.80608	43.84460	78.87495	88.76568	43.84460	34.39107	19.67301	73.33725	11.67382	86.38392	-	0.56721	52.76376	41.12980	78.36934	89.31371	41.12980	31.19799	19.89868	72.47164	11.97477	86.82916																							0.70013	68.67909	61.19066	80.55765	83.19518	61.19066	56.71314	17.64883	78.98769	9.23135	82.25320																																		0.65849	60.03107	53.35689	84.27562	91.69611	53.35689	41.07774	20.24735	76.08952	11.83746	87.83863																																																								
15- (bTDmL - bTDmL+p[0.3] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112248	19.6Sec	T5_ALL_TYPES	0.58744	54.98693	44.05504	79.02064	88.78996	44.05504	34.57993	19.71995	73.51126	11.67867	86.41090	-	0.56889	52.94074	41.33053	78.53183	89.35194	41.33053	31.37322	19.95221	72.66759	11.98337	86.88014																							0.70223	68.88119	61.49209	80.78372	83.19518	61.49209	57.01457	17.69405	79.21377	9.22381	82.21552																																		0.66100	60.23348	53.53357	83.92226	91.51943	53.53357	41.25442	20.17668	75.73616	11.80212	87.57362																																																								
16- (bTDmL - bTDmL+p[0.4] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112316	18.3Sec	T5_ALL_TYPES	0.58832	55.06618	44.16835	79.08539	88.84662	44.16835	34.66491	19.74585	73.60569	11.68272	86.45811	-	0.56990	53.02967	41.46435	78.61786	89.41885	41.46435	31.46881	19.98471	72.78707	11.98815	86.93589																							0.70330	68.97893	61.64280	80.70836	83.19518	61.64280	57.12761	17.67898	79.15097	9.22381	82.21552																																		0.65934	60.09043	53.18021	83.92226	91.51943	53.18021	41.07774	20.17668	75.73616	11.80212	87.57362																																																								
17- (bTDmL - bTDmL+p[0.5] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112340	17.3Sec	T5_ALL_TYPES	0.58877	55.11257	44.20882	79.19061	88.85471	44.20882	34.69729	19.75880	73.68663	11.68434	86.47565	-	0.57004	53.04451	41.45479	78.69432	89.40929	41.45479	31.44491	19.99235	72.83805	11.98719	86.93271																							0.70543	69.18491	62.01959	80.93444	83.19518	62.01959	57.50440	17.70912	79.35192	9.23135	82.25320																																		0.66149	60.34574	53.35689	84.27562	91.87279	53.35689	41.34276	20.24735	76.08952	11.83746	87.92697																																																								
18- (bTDmL - bTDmL+p[0.6] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112403	18.6Sec	T5_ALL_TYPES	0.59016	55.25182	44.38689	79.16633	88.86281	44.38689	34.85242	19.75395	73.66545	11.68515	86.49116	-	0.57146	53.18846	41.62684	78.65609	89.42841	41.62684	31.59466	19.98471	72.80348	11.99006	86.96298																							0.70649	69.27224	62.09495	81.00980	83.19518	62.09495	57.54207	17.72419	79.42728	9.22381	82.23436																																		0.66314	60.51990	53.88693	84.27562	91.69611	53.88693	41.87279	20.24735	76.08952	11.81979	87.75029																																																								
19- (bTDmL - bTDmL+p[0.7] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112430	17.4Sec	T5_ALL_TYPES	0.59097	55.31833	44.50020	79.21489	88.87090	44.50020	34.93066	19.77175	73.73128	11.68596	86.49926	-	0.57236	53.25973	41.76066	78.70388	89.43797	41.76066	31.68228	20.00191	72.86688	11.99102	86.97254																							0.70688	69.31200	62.09495	81.00980	83.19518	62.09495	57.54207	17.72419	79.42728	9.22381	82.23436																																		0.66325	60.56117	53.88693	84.45230	91.69611	53.88693	41.96113	20.31802	76.35453	11.81979	87.75029																																																								
20- (bTDmL - bTDmL+p[0.8] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112454	17.1Sec	T5_ALL_TYPES	0.59193	55.39905	44.65399	79.23108	88.92756	44.65399	35.05005	19.76042	73.70538	11.68434	86.52624	-	0.57335	53.34255	41.91359	78.71344	89.50487	41.91359	31.79937	19.98662	72.82674	11.98910	87.00440																							0.70798	69.40298	62.32102	81.00980	83.19518	62.32102	57.73047	17.72419	79.42728	9.22381	82.23436																																		0.66338	60.57911	53.88693	84.62898	91.69611	53.88693	41.96113	20.35336	76.53121	11.81979	87.75029																																																								
