 	 	project:	ALL	ALL	#ofBugs:	93016	#ofCommunityMembers:	75 - 4079						project:	adobe/brackets	2935735	#ofAssignments:	10462	#ofCommunityMembers:	864					project:	angular/angular.js	460078	#ofAssignments:	9658	#ofCommunityMembers:	2386					project:	elastic/elasticsearch	507775	#ofAssignments:	16184	#ofCommunityMembers:	1262					project:	fog/fog	203666	#ofAssignments:	1327	#ofCommunityMembers:	770					project:	html5rocks/www.html5rocks.com	5238231	#ofAssignments:	998	#ofCommunityMembers:	159					project:	julialang/julia	1644196	#ofAssignments:	12748	#ofCommunityMembers:	831					project:	khan/khan-exercises	1723225	#ofAssignments:	857	#ofCommunityMembers:	206					project:	lift/framework	1295197	#ofAssignments:	566	#ofCommunityMembers:	75					project:	rails/rails	8514	#ofAssignments:	11305	#ofCommunityMembers:	4079					project:	saltstack/salt	1390248	#ofAssignments:	15533	#ofCommunityMembers:	2283					project:	travis-ci/travis-ci	1420493	#ofAssignments:	6334	#ofCommunityMembers:	1159					project:	tryghost/ghost	9852918	#ofAssignments:	6142	#ofCommunityMembers:	473					project:	yui/yui3	85670	#ofAssignments:	902	#ofCommunityMembers:	175				
Experiment title	TIME	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	Any comments for the experiment	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10
Original cases (just using bug information):																																																																																																																																																												
62- (bTDmL - bTDmL+bC[0.4]+c[1.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_104749	23.3Sec	0.60085	56.39805	45.23675	80.61514	89.85836	45.23675	35.72885	20.06151	75.17092	11.78389	87.48739	-	0.58516	54.5422	42.97457	80.12808	90.47027	42.97457	32.80332	20.29058	74.32247	12.09329	88.0144	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70983	69.7311	61.86888	82.36624	84.09947	61.86888	57.51696	18.01055	80.79	9.32178	83.10726	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.63523	59.44206	48.05654	85.51237	92.04947	48.05654	38.72203	20.63604	77.67962	11.83746	88.01531	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
c coefficient = 1.0 and the best MAP with b+bC[0.4]+c[1.0] is 56.39805																																																																																																																																																												
--------------------------------------------------------------------------------------------------------------------------------------------																																																																																																																																																												
Checking the b + bC[0.4] + c[1.0] + p(different weights):																																																																																																																																																												
63- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_110712	26.2Sec	0.60131	56.45936	45.28531	80.64751	89.88264	45.28531	35.78416	20.06637	75.20127	11.78632	87.51032	-	0.58578	54.61999	43.0606	80.16632	90.48939	43.0606	32.89253	20.29631	74.35831	12.0952	88.03193	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70969	69.71614	61.71816	82.36624	84.09947	61.71816	57.36624	18.01055	80.79	9.32178	83.10726	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.63419	59.37767	47.87986	85.51237	92.22615	47.87986	38.63369	20.63604	77.67962	11.85512	88.19199	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
64- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.2] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_110801	32.7Sec	0.60135	56.46702	45.28531	80.67989	89.87454	45.28531	35.77472	20.07608	75.23769	11.78632	87.50223	-	0.58582	54.62822	43.05104	80.20455	90.48939	43.05104	32.87182	20.30778	74.40133	12.09616	88.03193	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71014	69.76142	61.79352	82.36624	84.02411	61.79352	57.4416	18.01055	80.79	9.31424	83.0319	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.63336	59.28666	47.87986	85.51237	92.22615	47.87986	38.63369	20.63604	77.67962	11.85512	88.19199	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
65- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.3] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_110851	24.6Sec	0.60178	56.51461	45.34197	80.68798	89.86645	45.34197	35.82868	20.08418	75.25185	11.78632	87.49683	-	0.58631	54.68374	43.11795	80.19499	90.47983	43.11795	32.93077	20.31352	74.39894	12.09616	88.02555	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.7106	69.80725	61.86888	82.51696	84.02411	61.86888	57.51696	18.04069	80.94072	9.31424	83.0319	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.63242	59.19169	47.70318	85.51237	92.22615	47.70318	38.54535	20.63604	77.67962	11.85512	88.19199	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
66- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.4] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_110934	24.7Sec	0.60219	56.56039	45.36625	80.76083	89.89073	45.36625	35.86375	20.1036	75.33144	11.78713	87.51302	-	0.58682	54.73892	43.15618	80.2619	90.49895	43.15618	32.97696	20.33454	74.47859	12.09711	88.03989	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.711	69.86211	61.94424	82.59231	84.09947	61.94424	57.59231	18.04069	80.9784	9.32178	83.10726	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.6312	59.04227	47.34982	85.68905	92.22615	47.34982	38.28033	20.67138	77.8563	11.83746	88.10365	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
67- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.5] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_111018	24.5Sec	0.60221	56.56556	45.35006	80.76083	89.87454	45.35006	35.84622	20.10522	75.34763	11.7847	87.49548	-	0.58697	54.75051	43.14663	80.2619	90.47983	43.14663	32.95148	20.33646	74.49771	12.09425	88.01918	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71129	69.91124	62.01959	82.59231	84.09947	62.01959	57.70535	18.05576	81.01608	9.32178	83.10726	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62822	58.82583	46.99647	85.68905	92.22615	46.99647	38.10365	20.63604	77.76796	11.83746	88.10365	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
68- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.6] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_111101	24.3Sec	0.60221	56.56984	45.34197	80.76083	89.88264	45.34197	35.84217	20.10684	75.34763	11.78389	87.49548	-	0.58694	54.75509	43.13707	80.2619	90.47983	43.13707	32.9467	20.34028	74.50249	12.09329	88.0144	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71089	69.88384	61.94424	82.59231	84.17483	61.94424	57.62999	18.05576	81.01608	9.32931	83.18262	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62957	58.89878	47.17314	85.68905	92.22615	47.17314	38.28033	20.60071	77.67962	11.81979	88.01531	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
69- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_111146	29.9Sec	0.60262	56.6134	45.39862	80.73654	89.87454	45.39862	35.90018	20.09389	75.31391	11.78632	87.50223	-	0.58744	54.80565	43.20398	80.24278	90.47027	43.20398	33.01042	20.32499	74.46903	12.09616	88.02237	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71137	69.92714	62.01959	82.59231	84.17483	62.01959	57.70535	18.07084	81.0412	9.32931	83.18262	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62823	58.81372	46.99647	85.51237	92.22615	46.99647	38.19199	20.56537	77.50294	11.81979	88.01531	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
70- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.8] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_111235	28.5Sec	0.60236	56.59473	45.35006	80.78511	89.88264	45.35006	35.85431	20.10198	75.35842	11.79037	87.52381	-	0.58723	54.78524	43.15618	80.30013	90.47983	43.15618	32.94988	20.33646	74.52479	12.10094	88.04786	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71219	69.98694	62.17031	82.59231	84.17483	62.17031	57.85607	18.05576	81.01608	9.32931	83.18262	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62466	58.64322	46.46643	85.51237	92.22615	46.46643	37.95642	20.56537	77.50294	11.81979	88.01531	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
71- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.9] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_111321	28.7Sec	0.60249	56.59828	45.35815	80.82558	89.86645	45.35815	35.8624	20.11008	75.40024	11.78956	87.51234	-	0.58739	54.79054	43.16574	80.34793	90.45116	43.16574	32.95944	20.34601	74.57417	12.09903	88.02476	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71237	70.00123	62.17031	82.51696	84.25019	62.17031	57.85607	18.04069	80.94072	9.33685	83.25798	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62415	58.58904	46.46643	85.68905	92.22615	46.46643	37.95642	20.60071	77.67962	11.81979	88.01531	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
72- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[1.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_111409	30.9Sec	0.60266	56.61099	45.39053	80.83367	89.87454	45.39053	35.88938	20.11008	75.40496	11.78794	87.50695	-	0.58742	54.79098	43.1753	80.35748	90.46071	43.1753	32.96263	20.34793	74.58214	12.09903	88.02794	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71356	70.11839	62.39638	82.51696	84.25019	62.39638	58.08214	18.02562	80.92188	9.32931	83.2203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62426	58.58389	46.46643	85.68905	92.22615	46.46643	37.95642	20.60071	77.67962	11.80212	87.92697	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
p coefficient = 0.7 and the best MAP with b+bC[0.4]+c[1.0]p[0.7] is 56.6134																																																																																																																																																												
--------------------------------------------------------------------------------------------------------------------------------------------																																																																																																																																																												
Checking the b + bC[0.4] + c[1.0] + p[0.7] + pC(different weights):																																																																																																																																																												
73- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_120845	33.9Sec	0.60206	56.58989	45.27722	80.80939	89.90692	45.27722	35.81384	20.12626	75.41778	11.79118	87.5346	-	0.58706	54.79786	43.10839	80.31925	90.49895	43.10839	32.9451	20.36322	74.58532	12.09998	88.04786	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71059	69.82189	61.86888	82.51696	84.25019	61.86888	57.51696	18.04069	80.94072	9.33685	83.25798	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62477	58.69122	46.46643	85.86572	92.22615	46.46643	37.95642	20.63604	77.8563	11.83746	88.0742	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
74- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_120949	28.6Sec	0.60218	56.58255	45.30959	80.86605	89.9393	45.30959	35.83408	20.14569	75.48995	11.79361	87.57102	-	0.58745	54.81758	43.19442	80.3766	90.52762	43.19442	33.01201	20.38425	74.65622	12.1038	88.08609	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70793	69.5463	61.34137	82.51696	84.32555	61.34137	57.02713	18.04069	80.9784	9.33685	83.29565	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62648	58.81267	46.81979	86.0424	92.22615	46.81979	38.30978	20.67138	78.03298	11.81979	88.0742	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
75- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_121043	26.2Sec	0.60194	56.5514	45.24484	80.83367	89.97167	45.24484	35.78551	20.11979	75.4198	11.79037	87.57615	-	0.58754	54.81754	43.20398	80.32881	90.56586	43.20398	33.03113	20.35557	74.57019	12.09998	88.09214	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70591	69.31515	60.88922	82.66767	84.32555	60.88922	56.57498	18.05576	81.10399	9.33685	83.29565	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62445	58.67535	46.28975	85.86572	92.22615	46.28975	37.95642	20.60071	77.79741	11.81979	88.0742	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
76- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_121135	27.9Sec	0.60168	56.52664	45.19628	80.77701	89.97977	45.19628	35.76393	20.09875	75.34696	11.79118	87.57615	-	0.58741	54.80554	43.16574	80.27146	90.56586	43.16574	33.02476	20.33263	74.49372	12.09998	88.08258	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70454	69.15221	60.66315	82.66767	84.32555	60.66315	56.31123	18.05576	81.10399	9.33685	83.29565	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62435	58.73863	46.46643	85.68905	92.40283	46.46643	38.22144	20.56537	77.62073	11.83746	88.25088	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
77- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_121226	25.6Sec	0.60117	56.4589	45.12343	80.67179	89.99595	45.12343	35.69041	20.07285	75.24444	11.7928	87.59571	-	0.58714	54.75907	43.12751	80.1472	90.58497	43.12751	32.98095	20.30205	74.37265	12.10189	88.10329	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70249	68.95354	60.28636	82.66767	84.32555	60.28636	55.97212	18.05576	81.10399	9.32931	83.27681	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62289	58.5847	46.46643	85.68905	92.40283	46.46643	38.22144	20.56537	77.62073	11.85512	88.33922	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
78- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_121317	26.1Sec	0.60073	56.40888	45.08296	80.63132	89.99595	45.08296	35.65399	20.06799	75.21341	11.79442	87.61122	-	0.58695	54.73235	43.12751	80.11852	90.58497	43.12751	32.98095	20.29822	74.34557	12.10094	88.10728	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70095	68.77547	59.98493	82.66767	84.25019	59.98493	55.67069	18.07084	81.14167	9.32178	83.20146	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62042	58.40418	46.28975	85.33569	92.57951	46.28975	38.1331	20.4947	77.35571	11.9258	88.78092	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
79- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_121406	26.6Sec	0.60032	56.35321	45.0344	80.5342	89.94739	45.0344	35.59463	20.04047	75.09875	11.78875	87.56806	-	0.58659	54.676	43.08928	80.01338	90.5563	43.08928	32.92519	20.26764	74.21972	12.09807	88.08497	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70024	68.69013	59.83421	82.66767	84.17483	59.83421	55.51997	18.07084	81.14167	9.31424	83.1261	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.61987	58.43076	46.28975	85.15901	92.22615	46.28975	38.22144	20.45936	77.17903	11.87279	88.42756	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
80- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_121457	32Sec	0.59928	56.25299	44.86443	80.56657	89.92311	44.86443	35.45703	20.03561	75.10212	11.7847	87.53973	-	0.58571	54.59463	42.95546	80.05162	90.52762	42.95546	32.82483	20.26572	74.23166	12.09425	88.0563	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.69813	68.46438	59.38206	82.66767	84.17483	59.38206	55.06782	18.05576	81.10399	9.31424	83.1261	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.61834	58.27627	46.11307	85.15901	92.22615	46.11307	38.1331	20.42403	77.12014	11.85512	88.33922	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
81- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_121553	25.3Sec	0.59813	56.14148	44.69446	80.63132	89.91501	44.69446	35.32214	20.04209	75.1376	11.77823	87.50465	-	0.58483	54.50534	42.8312	80.11852	90.51807	42.8312	32.73243	20.27146	74.2656	12.08755	88.01966	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.69607	68.27533	59.00528	82.74303	84.17483	59.00528	54.72871	18.05576	81.14167	9.31424	83.1261	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.61434	57.93593	45.58304	85.15901	92.22615	45.58304	37.6914	20.45936	77.17903	11.83746	88.25088	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
82- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_121642	26.5Sec	0.59743	56.06974	44.66208	80.55038	89.85836	44.66208	35.28976	20.01133	75.04721	11.77013	87.4399	-	0.58429	54.44914	42.8312	80.04206	90.45116	42.8312	32.73084	20.23896	74.1732	12.078	87.94319	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.6935	68.04392	58.55313	82.66767	84.17483	58.55313	54.36448	18.04069	81.06631	9.32178	83.16378	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.61514	57.95131	45.9364	84.98233	92.22615	45.9364	37.86808	20.42403	77.09069	11.81979	88.16254	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pC coefficient = 0.0 and the best MAP with b+bC[0.4]+c[1.0]p[0.7] is the same as before (56.6134)			No pC!																																																																																																																																																									
--------------------------------------------------------------------------------------------------------------------------------------------																																																																																																																																																												
Checking the b + bC[0.4] + c[1.0] + p[0.7] + cC(different weights):																																																																																																																																																												
83- (bTDmL - bTDmL+bC[0.4]+c[1.0]+p[0.7]+cC[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170906_150449	28.7Sec	0.6026	56.6147	45.39862	80.72036	89.87454	45.39862	35.90018	20.09227	75.30716	11.78713	87.50492	-	0.58749	54.80929	43.21353	80.22367	90.47027	43.21353	33.0152	20.32307	74.46107	12.09711	88.02555	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71142	69.93408	62.01959	82.59231	84.17483	62.01959	57.70535	18.07084	81.0412	9.32931	83.18262	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.6269	58.75835	46.81979	85.51237	92.22615	46.81979	38.10365	20.56537	77.50294	11.81979	88.01531	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
