 	 	project:	ALL	ALL	#ofBugs:	93016	#ofCommunityMembers:	75 - 4079						project:	adobe/brackets	2935735	#ofAssignments:	10462	#ofCommunityMembers:	864					project:	angular/angular.js	460078	#ofAssignments:	9658	#ofCommunityMembers:	2386					project:	elastic/elasticsearch	507775	#ofAssignments:	16184	#ofCommunityMembers:	1262					project:	fog/fog	203666	#ofAssignments:	1327	#ofCommunityMembers:	770					project:	html5rocks/www.html5rocks.com	5238231	#ofAssignments:	998	#ofCommunityMembers:	159					project:	julialang/julia	1644196	#ofAssignments:	12748	#ofCommunityMembers:	831					project:	khan/khan-exercises	1723225	#ofAssignments:	857	#ofCommunityMembers:	206					project:	lift/framework	1295197	#ofAssignments:	566	#ofCommunityMembers:	75					project:	rails/rails	8514	#ofAssignments:	11305	#ofCommunityMembers:	4079					project:	saltstack/salt	1390248	#ofAssignments:	15533	#ofCommunityMembers:	2283					project:	travis-ci/travis-ci	1420493	#ofAssignments:	6334	#ofCommunityMembers:	1159					project:	tryghost/ghost	9852918	#ofAssignments:	6142	#ofCommunityMembers:	473					project:	yui/yui3	85670	#ofAssignments:	902	#ofCommunityMembers:	175				
Experiment title	TIME	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	Any comments for the experiment	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10
Original cases (just using bug information):																																																																																																																																																												
8- (bTDmL - bTDmL+c[0.6] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110621	16.1Sec	0.59126	55.4166	44.38689	79.57912	88.93565	44.38689	34.85849	19.85431	74.13679	11.68191	86.51477	-	0.57311	53.3714	41.74154	79.10533	89.46664	41.74154	31.64325	20.08985	73.30673	11.98719	86.97572	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70762	69.45794	62.17031	80.85908	83.34589	62.17031	57.69279	17.72419	79.3582	9.23888	82.35368	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.65387	60.30013	51.59011	85.33569	92.22615	51.59011	40.75383	20.4947	77.23793	11.76678	87.75029	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9- (bTDmL - bTDmL+c[0.7] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110645	16.5Sec	0.59165	55.4792	44.3707	79.65196	88.92756	44.3707	34.8794	19.86402	74.19007	11.68029	86.51315	-	0.57385	53.4662	41.77022	79.1818	89.45708	41.77022	31.7014	20.10132	73.36488	11.98528	86.97381	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.7067	69.35876	62.01959	80.85908	83.34589	62.01959	57.54207	17.70912	79.32052	9.23888	82.35368	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.651	60.1468	51.06007	85.51237	92.22615	51.06007	40.48881	20.53004	77.41461	11.76678	87.75029	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10- (bTDmL - bTDmL+c[0.8] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110709	18.5Sec	0.59217	55.54246	44.40308	79.67624	88.95994	44.40308	34.90867	19.86079	74.19951	11.68596	86.54958	-	0.57483	53.56418	41.8658	79.20092	89.49532	41.8658	31.7742	20.09558	73.36647	11.99293	87.0216	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70571	69.25678	61.86888	80.93444	83.34589	61.86888	57.39136	17.72419	79.39588	9.23888	82.35368	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.64649	59.95565	50.35336	85.51237	92.22615	50.35336	40.13545	20.53004	77.41461	11.74912	87.66196	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11- (bTDmL - bTDmL+c[0.9] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110735	17.5Sec	0.59266	55.582	44.42736	79.71671	88.94375	44.42736	34.92756	19.87535	74.23971	11.68515	86.54148	-	0.57562	53.61818	41.94227	79.24871	89.48576	41.94227	31.81084	20.11088	73.40916	11.99293	87.01682	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70567	69.24773	61.86888	80.93444	83.27054	61.86888	57.42904	17.72419	79.39588	9.23135	82.316	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.64276	59.84203	49.46996	85.51237	92.22615	49.46996	39.7821	20.56537	77.50294	11.74912	87.66196	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
12- (bTDmL - bTDmL+c[1.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_110800	15.9Sec	0.59333	55.6352	44.53258	79.82193	88.91947	44.53258	35.0058	19.89316	74.33522	11.6811	86.50911	-	0.57639	53.67969	42.04741	79.38253	89.45708	42.04741	31.88412	20.13382	73.53151	11.98719	86.97381	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70659	69.33797	62.09495	80.85908	83.27054	62.09495	57.65511	17.70912	79.32052	9.23135	82.316	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.641	59.65461	49.29329	85.51237	92.22615	49.29329	39.60542	20.56537	77.50294	11.76678	87.75029	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Commit coefficient = 1.0 and the best MAP with b+c is 55.6352																																																																																																																																																												
--------------------------------------------------------------------------------------------------------------------------------------------																																																																																																																																																												
"Now, check the best effect of pull requests (b+p):"																																																																																																																																																												
13- (bTDmL - bTDmL+p[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112156	19.2Sec	0.58457	54.69122	43.74747	78.69688	88.69284	43.74747	34.30743	19.61473	73.11979	11.66087	86.28544	-	0.56614	52.65007	41.0151	78.19729	89.2468	41.0151	31.09922	19.83751	72.25307	11.96234	86.73835	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.69782	68.45209	61.03994	80.25622	82.9691	61.03994	56.56242	17.58855	78.68626	9.20121	81.98945	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.65989	60.1574	53.71025	84.27562	91.87279	53.71025	41.4311	20.24735	76.08952	11.85512	87.98587	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14- (bTDmL - bTDmL+p[0.2] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_0000 - 3tP) - 20170905_112225	17.6Sec	0.58567	54.80608	43.8446	78.87495	88.76568	43.8446	34.39107	19.67301	73.33725	11.67382	86.38392	-	0.56721	52.76376	41.1298	78.36934	89.31371	41.1298	31.19799	19.89868	72.47164	11.97477	86.82916	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70013	68.67909	61.19066	80.55765	83.19518	61.19066	56.71314	17.64883	78.98769	9.23135	82.2532	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.65849	60.03107	53.35689	84.27562	91.69611	53.35689	41.07774	20.24735	76.08952	11.83746	87.83863	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
